Source IP,Dest IP,Source Port,Dest Port,Protocol,Num Packets,Small Packets,Large Packets,Avg Payload,Dropped Packets,Duration,First Packet Length,Null Packets,Ratio of same packets,Std of Payload,Percentage of Small Packet,Percent of Latge Packet,Inter Arrival Time,Bytes per second,Packets Received,Packets Sent,Avg length received,Avg Length Sent,Packet per Second
172.27.22.206,184.84.108.217,50858,443,TCP,9,6,3,33.33333333,0,90255.75,99.33333333,0,0,175.1983003,0.555555556,0.009905186,11281.96875,1154.125,30694.44444,544,154.6666667,66,99.71663855
172.27.22.206,157.55.109.224,50859,443,TCP,14,11,3,21.42857143,0,82826,67.78571429,0,0,150.2310635,0.714285714,0.011457755,6371.230769,1088.25,22569.37245,603,122.6428571,66,169.0290488
172.27.22.206,131.253.61.66,50860,443,TCP,14,9,5,35.71428571,0,12982.25,569.8571429,0,0,1774.526111,0.571428571,0.614531379,998.6346154,692.25,3148942.918,7003,624.7142857,66,1078.395502
172.27.22.206,131.253.61.66,50861,443,TCP,14,9,5,35.71428571,0,15606.25,559.5714286,0,0,1737.558004,0.571428571,0.501978374,1200.480769,693,3019107.816,6859,614.4285714,66,897.0764918
172.27.22.206,111.221.29.174,50862,443,TCP,10,6,4,40,0,10253.25,310.5,0,0,579.9025866,0.5,0.30283081,1139.25,688.75,336287.01,1947,365.7,66,975.3005145
172.27.22.206,184.84.108.217,50863,443,TCP,6,5,1,16.66666667,0,4715,60.5,0,0,134.4591016,0.666666667,0.076988335,943,636,18079.25,417,116.5,66,1272.534464
172.27.22.206,184.84.108.217,50864,443,TCP,12,9,3,25,0,49775,66.91666667,0,0,140.1597055,0.666666667,0.016132597,4525,688.25,19644.74306,544,121.9166667,66,241.084882
172.27.22.206,40.77.224.11,50865,443,TCP,14,11,3,21.42857143,0,41642,70.78571429,0,0,152.9395806,0.714285714,0.023798088,3203.230769,690,23390.51531,603,125.6428571,66,336.1990298
172.27.22.206,111.221.29.254,50866,443,TCP,12,6,6,50,0,26133.25,532.1666667,0,0,930.0175476,0.416666667,0.244363024,2375.75,1064,864932.6389,3435,587.1666667,66,459.1851377
172.27.22.206,117.18.232.200,50867,443,TCP,22,17,5,22.72727273,0,123667,42.68181818,0,0,101.2193531,0.727272727,0.007592971,5888.904762,993,10245.35744,447,97.22727273,66,177.8970946
172.27.22.206,40.74.131.199,50869,443,TCP,61,58,3,4.918032787,0,85273.25,14.70491803,0,0,70.92173126,0.93442623,0.010519125,1421.220833,1082.75,5029.891965,539,68.90163934,66,715.3474272
172.27.22.206,40.74.131.199,50868,443,TCP,12,10,2,16.66666667,0,120877,34.33333333,0,0,76.46495203,0.75,0.003408423,10988.81818,1389,5846.888889,268,89.33333333,66,99.27446909
172.27.22.206,23.35.6.147,50870,443,TCP,10,7,3,30,0,49045,45.6,0,0,70.0125703,0.6,0.009297584,5449.444444,1294.25,4901.76,234,100.8,66,203.8943827
172.27.22.206,104.108.209.166,50871,80,TCP,6,5,1,16.66666667,0,48662,35.83333333,0,0,79.35241367,0.666666667,0.004418232,9732.4,2126,6296.805556,269,91.83333333,66,123.2994945
172.27.22.206,13.107.3.128,50872,443,TCP,14,9,5,35.71428571,0,20323,56.92857143,0,0,103.9637152,0.571428571,0.039216651,1563.307692,686,10808.45408,423,111.7857143,66,688.874674
172.27.22.206,52.232.69.150,50873,443,TCP,12,8,4,33.33333333,0,18157,69.25,0,0,126.2610556,0.583333333,0.045767473,1650.636364,642,15941.85417,485,124.25,66,660.9021314
172.27.22.206,104.25.218.21,50874,443,TCP,28,22,6,21.42857143,0,1473511.75,33.92857143,0,0,86.95984882,0.75,0.000644718,54574.50926,1078.75,7562.015306,469,88.35714286,66,19.00222377
172.27.22.206,104.215.18.210,50875,443,TCP,6,5,1,16.66666667,0,53477.25,34.66666667,0,0,76.74778317,0.666666667,0.003889504,10695.45,1061.25,5890.222222,262,90.66666667,66,112.1972428
172.27.22.206,13.107.21.200,50876,443,TCP,14,10,4,28.57142857,0,675484.25,32.21428571,0,0,63.68613247,0.642857143,0.000667669,51960.32692,1576.25,4055.923469,287,87.07142857,66,20.72587185
172.27.22.206,13.107.21.200,50877,443,TCP,120,66,54,45,0,674861,154.225,0,0,444.2026595,0.541666667,0.027423425,5671.10084,1061,197316.0027,3870,208.325,66,177.8143944
172.27.22.206,204.79.197.200,50878,443,TCP,13,9,4,30.76923077,0,1458184,34.69230769,0,0,65.40117437,0.615384615,0.000309289,121515.3333,1600.125,4277.313609,287,89.61538462,66,8.915198631
172.27.22.206,204.79.197.200,50879,443,TCP,23,14,9,39.13043478,0,1456215.75,239.6086957,0,0,584.7780928,0.565217391,0.003784467,66191.625,941.125,341965.4178,2753,294.1304348,66,15.79436289
172.27.22.206,131.253.61.70,50880,443,TCP,14,9,5,35.71428571,0,29419,566.4285714,0,0,1770.87712,0.571428571,0.26955369,2263,1079,3136005.776,6987,621.2857143,66,475.8829328
172.27.22.206,104.25.218.21,50881,443,TCP,6,5,1,16.66666667,0,9777.25,64.66666667,0,0,143.7714235,0.666666667,0.03968396,1955.45,1266.75,20670.22222,442,120.6666667,66,613.6694878
172.27.22.206,104.25.218.21,50882,443,TCP,6,5,1,16.66666667,0,11904.75,64.66666667,0,0,143.7714235,0.666666667,0.032592033,2380.95,1051.75,20670.22222,442,120.6666667,66,504.000504
172.27.22.206,104.25.218.21,50883,443,TCP,15,10,5,33.33333333,0,1395141,43.06666667,0,0,73.56708201,0.6,0.000463036,99652.92857,1076.375,5412.115556,286,97.86666667,66,10.75160145
172.27.22.206,204.79.197.200,50884,443,TCP,13,9,4,30.76923077,0,1329767.25,33.92307692,0,0,63.09314988,0.615384615,0.000331637,110813.9375,1907,3980.745562,277,88.84615385,66,9.776146916
172.27.22.206,204.79.197.200,50885,443,TCP,14,9,5,35.71428571,0,1328383,45.92857143,0,0,74.49561691,0.571428571,0.000484047,102183.3077,1251,5549.596939,277,100.7857143,66,10.53912915
172.27.22.206,131.253.61.70,50887,443,TCP,11,8,3,27.27272727,0,36590.25,528.5454545,0,0,1541.224323,0.636363636,0.158894788,3659.025,1672.625,2375372.413,5451,583.6363636,66,300.626533
172.27.22.206,131.253.61.70,50886,443,TCP,11,9,2,18.18181818,0,1260706,37.90909091,0,0,80.01022662,0.727272727,0.000330767,126070.6,3224.625,6401.636364,268,93,66,8.725269809
172.27.22.206,13.107.21.200,50888,443,TCP,13,9,4,30.76923077,0,1245571,34.76923077,0,0,65.63346311,0.615384615,0.000362886,103797.5833,1205,4307.751479,288,89.69230769,66,10.43698031
172.27.22.206,13.107.21.200,50889,443,TCP,14,9,5,35.71428571,0,1244949,84.85714286,0,0,191.1246521,0.571428571,0.000954256,95765.30769,1248,36528.63265,790,139.7142857,66,11.24544058
172.27.22.206,172.217.161.10,50890,443,TCP,14,8,6,42.85714286,0,1273804,54.78571429,0,0,87.2980176,0.5,0.000602133,97984.92308,1924,7620.943878,348,109.6428571,66,10.99070187
172.27.22.206,157.240.16.35,50891,443,TCP,17,11,6,35.29411765,0,423638,119.4117647,0,0,271.323311,0.588235294,0.004791827,26477.375,1237.125,73616.3391,1150,174.1176471,66,40.12860036
172.27.22.206,157.240.16.20,50892,443,TCP,29,23,6,20.68965517,0,420661,28,0,0,65.43779212,0.75862069,0.001930295,15023.60714,956.375,4282.104637,322,82.4137931,66,68.939122
172.27.22.206,172.217.24.227,50893,443,TCP,60,49,11,18.33333333,0,1266281.25,19.51666667,0,0,50.80783787,0.8,0.000924755,21462.39407,1087,2581.436389,339,73.71666667,66,47.38283853
172.27.22.206,172.217.24.238,50894,443,TCP,24,16,8,33.33333333,0,1266260,49.54166667,0,0,99.65209446,0.625,0.000938986,55054.78261,1088,9930.539931,455,104.0416667,66,18.95345348
172.27.22.206,35.186.165.146,50895,443,TCP,237,225,12,5.063291139,0,1235966.25,6.565400844,0,0,32.08888362,0.945147679,0.001258934,5237.145127,1083.75,1029.696452,361,60.61603376,66,191.7528088
172.27.22.206,35.186.165.146,50896,443,TCP,7,6,1,14.28571429,0,158903.25,55.28571429,0,0,134.7855439,0.714285714,0.002435444,26483.875,1997.625,18167.14286,441,111,66,44.05196244
172.27.22.206,35.186.165.146,50897,443,TCP,6,5,1,16.66666667,0,158272,64.5,0,0,143.3989191,0.666666667,0.002445158,31654.4,2264,20563.25,441,120.5,66,37.90942175
172.27.22.206,35.186.165.146,50898,443,TCP,14,9,5,35.71428571,0,892710.25,45.5,0,0,70.43396821,0.571428571,0.000713557,68670.01923,715,4960.943878,249,100.3571429,66,15.6825801
172.27.22.206,104.215.18.210,50899,443,TCP,13,9,4,30.76923077,0,19148.75,710.1538462,0,0,2185.353675,0.615384615,0.482120243,1595.729167,697.5,4775770.686,8315,765.0769231,66,678.8954893
172.27.22.206,52.175.39.99,50900,443,TCP,12,6,6,50,0,11011,114.6666667,0,0,180.83894,0.416666667,0.124965943,1001,1066,32702.72222,674,169.6666667,66,1089.819272
172.27.22.206,13.107.21.200,50901,443,TCP,13,9,4,30.76923077,0,935731,34.69230769,0,0,65.40117437,0.615384615,0.000481976,77977.58333,2203.25,4277.313609,287,89.61538462,66,13.89288161
172.27.22.206,13.107.21.200,50902,443,TCP,24,13,11,45.83333333,0,934870,132.9166667,0,0,279.0861451,0.5,0.003412239,40646.52174,1077,77889.07639,1107,187.4166667,66,25.67201857
172.27.22.206,172.217.24.227,50903,443,TCP,70,59,11,15.71428571,0,901568,16.97142857,0,0,47.88894466,0.828571429,0.001317704,13066.2029,1079,2293.35102,339,71.14285714,66,77.64250728
172.27.22.206,104.20.111.39,50904,443,TCP,41,34,7,17.07317073,0,898072,21.70731707,0,0,59.3295879,0.804878049,0.000991012,22451.8,1090.625,3520,352,76,66,45.65335519
172.27.22.206,172.217.161.14,50905,443,TCP,16,8,8,50,0,892855.5,74.0625,0,0,112.2999436,0.4375,0.001327202,59523.7,3484,12611.27734,434,128.8125,66,17.92003297
172.27.22.206,172.217.161.10,50906,443,TCP,13,7,6,46.15384615,0,896293.75,61.53846154,0,0,96.00209564,0.461538462,0.000892565,74691.14583,6503.375,9216.402367,381,116.4615385,66,14.50417344
172.27.22.206,151.101.0.134,50907,443,TCP,19,13,6,31.57894737,0,884063.75,240.9473684,0,0,435.0167953,0.631578947,0.00517836,49114.65278,9340,189239.6122,1294,295.5789474,66,21.49166279
172.27.22.206,104.16.161.13,50908,443,TCP,15,9,6,40,0,876736,60.53333333,0,0,107.7748682,0.533333333,0.00103566,62624,1442,11615.42222,460,115.3333333,66,17.10891306
172.27.22.206,172.217.160.232,50909,443,TCP,26,18,8,30.76923077,0,873674.75,71.07692308,0,0,187.1119021,0.653846154,0.002115204,34946.99,1086,35010.86391,938,125.5384615,66,29.75935839
172.27.22.206,157.240.16.35,50910,443,TCP,17,11,6,35.29411765,0,821245,79.94117647,0,0,151.4556589,0.588235294,0.001654805,51327.8125,1483.5,22938.81661,619,134.6470588,66,20.70027824
172.27.22.206,151.101.36.64,50911,443,TCP,12,9,3,25,0,855139.75,115.0833333,0,0,294.8062806,0.666666667,0.001614941,77739.97727,4174,86910.74306,1126,170.0833333,66,14.03279406
172.27.22.206,151.101.36.64,50912,443,TCP,20,12,8,40,0,860763,225.95,0,0,342.787467,0.55,0.005249993,45303.31579,1163,117503.2475,1070,280.55,66,23.23519947
172.27.22.206,104.108.215.118,50913,443,TCP,6,5,1,16.66666667,0,59785,34.16666667,0,0,75.6315998,0.666666667,0.003428954,11957,1052,5720.138889,259,90.16666667,66,100.359622
172.27.22.206,147.75.111.32,50914,443,TCP,6,5,1,16.66666667,0,87901,34.66666667,0,0,76.74778317,0.666666667,0.002366298,17580.2,997,5890.222222,262,90.66666667,66,68.25860912
172.27.22.206,151.101.36.134,50915,443,TCP,22,18,4,18.18181818,0,831950.75,78.90909091,0,0,206.0731837,0.772727273,0.002086662,39616.70238,1472,42466.15702,794,133.4545455,66,26.44387303
172.27.22.206,151.101.36.134,50916,443,TCP,11,8,3,27.27272727,0,834373.75,90.54545455,0,0,198.4422392,0.636363636,0.00119371,83437.375,4029.875,39379.32231,739,145.6363636,66,13.18354035
172.27.22.206,35.154.46.219,50917,443,TCP,17,12,5,29.41176471,0,420827.75,129.4117647,0,0,235.0141128,0.647058824,0.005227792,26301.73438,5144.75,55231.63322,709,184.1176471,66,40.39657556
172.27.22.206,35.154.46.219,50918,443,TCP,40,34,6,15,0,820865,71,0,0,189.3078445,0.825,0.003459765,21047.82051,1084.75,35837.46,705,125.3,66,48.72908456
172.27.22.206,35.154.46.219,50919,443,TCP,20,13,7,35,0,816789.5,174.3,0,0,268.3573923,0.6,0.004267929,42988.92105,10287.75,72015.69,704,228.9,66,24.48611301
172.27.22.206,35.154.46.219,50920,443,TCP,25,18,7,28,0,419267.75,135.12,0,0,242.0342125,0.68,0.008056904,17469.48958,2425.5,58580.56,710,189.6,66,59.6277677
172.27.22.206,35.154.46.219,50921,443,TCP,29,25,4,13.79310345,0,419256.25,53.68965517,0,0,158.3828502,0.827586207,0.003713719,14973.4375,1082.625,25085.12723,681,108.1034483,66,69.17010778
172.27.22.206,35.154.46.219,50922,443,TCP,6,5,1,16.66666667,0,49636,68.33333333,0,0,151.9667361,0.666666667,0.008260134,9927.2,1052,23093.88889,464,124.3333333,66,120.8800064
172.27.22.206,35.154.46.219,50923,443,TCP,9,7,2,22.22222222,0,570544.25,58.44444444,0,0,126.4294074,0.666666667,0.000921927,71318.03125,3964.625,15984.39506,454,113.7777778,66,15.77441189
172.27.22.206,35.154.46.219,50924,443,TCP,13,10,3,23.07692308,0,569251.75,63.76923077,0,0,128.1293725,0.692307692,0.001456298,47437.64583,1976.875,16417.13609,454,118.6923077,66,22.83699611
172.27.22.206,104.215.18.210,50925,443,TCP,13,9,4,30.76923077,0,42705,680.6153846,0,0,2074.275095,0.615384615,0.207188854,3558.75,887.625,4302617.172,7899,735.5384615,66,304.414003
172.27.22.206,104.16.77.166,50926,443,TCP,130,115,15,11.53846154,0,562021,15.03076923,0,0,54.35397026,0.876923077,0.003476738,4356.751938,1081,2954.354083,548,69.12307692,66,231.3080828
172.27.22.206,104.215.18.210,50927,443,TCP,13,9,4,30.76923077,0,19923,596.9230769,0,0,1785.389802,0.615384615,0.389499573,1660.25,671.5,3187616.746,6811,651.8461538,66,652.5121719
172.27.22.206,151.101.36.64,50928,443,TCP,11,7,4,36.36363636,0,409487,188.1818182,0,0,312.7967946,0.545454545,0.005055106,40948.7,4349.125,97841.83471,891,243.2727273,66,26.86287965
172.27.22.206,151.101.36.64,50929,443,TCP,7,5,2,28.57142857,0,409919,65.28571429,0,0,139.4673541,0.571428571,0.001114854,68319.83333,2621.5,19451.14286,460,121,66,17.07654439
172.27.22.206,151.101.36.64,50930,443,TCP,7,5,2,28.57142857,0,394780.75,65.28571429,0,0,139.4673541,0.571428571,0.001157605,65796.79167,4045.375,19451.14286,460,121,66,17.73136101
172.27.22.206,13.228.187.7,50931,443,TCP,15,12,3,20,0,344912,79.26666667,0,0,215.521837,0.733333333,0.003447256,24636.57143,1398.625,46449.66222,911,134.0666667,66,43.48935381
172.27.22.206,182.50.136.239,50932,80,TCP,6,5,1,16.66666667,0,375851.25,38,0,0,84.19026072,0.666666667,0.000606623,75170.25,1053.5,7088,282,94,66,15.96376226
172.27.22.206,157.240.16.20,50933,443,TCP,41,36,5,12.19512195,0,302308.25,22.02439024,0,0,77.22991933,0.853658537,0.002987017,7557.70625,1081.5,5964.46044,497,76.31707317,66,135.6231595
172.27.22.206,172.217.161.14,50934,443,TCP,32,24,8,25,0,343289,38.09375,0,0,103.3561378,0.71875,0.003550944,11073.83871,1088.75,10682.49121,603,92.59375,70,93.21592011
172.27.22.206,157.240.16.20,50935,443,TCP,20,15,5,25,0,257859,48.85,0,0,119.6835306,0.7,0.003788892,13571.52632,1073.5,14324.1475,570,103.45,66,77.56176825
172.27.22.206,157.240.16.20,50936,443,TCP,11,7,4,36.36363636,0,259272,41.90909091,0,0,66.60193827,0.545454545,0.001778055,25927.2,1064.625,4435.818182,264,97,66,42.42648647
172.27.22.206,172.217.161.13,50937,443,TCP,12,8,4,33.33333333,0,235497,35.5,0,0,61.2936919,0.583333333,0.00180894,21408.81818,1146,3756.916667,262,90.5,66,50.95606313
172.27.22.206,172.217.161.13,50938,443,TCP,19,11,8,42.10526316,0,233820,67.21052632,0,0,132.8747979,0.526315789,0.005461466,12990,1585.5,17655.71191,620,121.8421053,66,81.25908819
172.27.22.206,172.217.161.3,50939,443,TCP,21,15,6,28.57142857,0,231179,34.57142857,0,0,69.75008839,0.666666667,0.003140424,11558.95,737,4865.07483,312,89.14285714,66,90.83870075
172.27.22.206,104.108.215.118,50940,443,TCP,11,8,3,27.27272727,0,204058,118.4545455,0,0,277.2636958,0.636363636,0.006385439,20405.8,1307.375,76875.15702,1026,173.5454545,66,53.90624234
172.27.22.206,147.75.111.32,50941,443,TCP,14,9,5,35.71428571,0,149659.25,150.5,0,0,419.4788616,0.571428571,0.014078649,11512.25,711.25,175962.5153,1702,205.3571429,66,93.5458383
172.27.22.206,107.178.254.65,50942,443,TCP,12,8,4,33.33333333,0,186867,34.75,0,0,59.2102539,0.583333333,0.002231534,16987.90909,1437,3505.854167,253,89.75,66,64.2167959
172.27.22.206,107.178.254.65,50943,443,TCP,16,10,6,37.5,0,186241.75,69.4375,0,0,158.2336953,0.5625,0.005965365,12416.11667,2047,25037.90234,702,124.1875,66,85.90984567
172.27.22.206,52.76.153.125,50944,443,TCP,15,12,3,20,0,194093,80.06666667,0,0,218.812817,0.733333333,0.006187755,13863.78571,736,47879.04889,925,134.8666667,66,77.28253981
172.27.22.206,35.162.50.238,50945,443,TCP,13,11,2,15.38461538,0,164893.25,25.38461538,0,0,61.16734249,0.769230769,0.002001295,13741.10417,2225.625,3741.443787,258,80.30769231,66,78.83888516
172.27.22.206,35.162.50.238,50946,443,TCP,15,12,3,20,0,163101,92.53333333,0,0,264.1127705,0.733333333,0.008510064,11650.07143,1050.625,69755.55556,1112,147.3333333,66,91.96755385
172.27.22.206,34.204.127.79,50947,443,TCP,17,13,4,23.52941176,0,154513.25,81.52941176,0,0,172.0186479,0.705882353,0.008970105,9657.078125,2002.625,29590.41522,604,136.2352941,66,110.0229268
172.27.22.206,139.61.74.125,50948,443,TCP,6,5,1,16.66666667,0,32079.75,33.5,0,0,74.14344206,0.666666667,0.006265635,6415.95,1064,5497.25,255,89.5,66,187.0338765
